Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
7286808,https://www.grubhub.com/restaurant/crumbl-cookies-2104-merrick-ave-merrick/7286808,Crumbl Cookies,,Dessert
2900604,https://www.grubhub.com/restaurant/despicable-wraps-300-8th-ave-new-york/2900604,Despicable Wraps,4 ratings,sandwich
3345341,https://www.grubhub.com/restaurant/r--r-food-store-552-beach-25th-st-far-rockaway-queens/3345341,R & R food store,5 ratings,Breakfast
4364768,https://www.grubhub.com/restaurant/ericks-deli-59-mt-vernon-ave-mount-vernon/4364768,Ericks deli,,Hamburger
5273024,https://www.grubhub.com/restaurant/chopped-cheese-mania-740-10th-ave-new-york/5273024,Chopped Cheese Mania,,American
3173982,https://www.grubhub.com/restaurant/viva-vegan-sandwiches-34-02-30th-st-queens/3173982,Viva Vegan Sandwiches,21 ratings,Convenience
7322832,https://www.grubhub.com/restaurant/wonder-room-flowers-7904-3rd-ave-brooklyn/7322832,Wonder Room Flowers,,American
7101056,https://www.grubhub.com/restaurant/the-smoothie-savage-954-broadway-brooklyn/7101056,The Smoothie Savage,,Fast Food
2547925,https://www.grubhub.com/restaurant/supreme-acai-826-9th-ave-new-york/2547925,Supreme Acai,35 ratings,Dessert
1260486,https://www.grubhub.com/restaurant/fresh-2-go-deli-corp-10402-liberty-ave-ozone-park/1260486,Fresh 2 Go Deli Corp,55 ratings,Hamburger
3103057,https://www.grubhub.com/restaurant/chick-spot-1687-86th-street-brooklyn/3103057,Chick Spot,6 ratings,Hamburger
6341360,https://www.grubhub.com/restaurant/brooklyn-roasting-company-543-metropolitan-ave-brooklyn/6341360,Brooklyn Roasting Company,,Coffee and Tea
4487152,https://www.grubhub.com/restaurant/kings-natural-market-corp-390-tompkins-avenue-brooklyn/4487152,Kings Natural market Corp,7 ratings,Mexican
2644602,https://www.grubhub.com/restaurant/local-breakfast-spot-755-9th-ave--1b-new-york/2644602,Local Breakfast Spot,10 ratings,Breakfast
2263901,https://www.grubhub.com/restaurant/juice-generation-queens-520-47th-rd-long-island-city/2263901,Juice Generation (Queens),93 ratings,Coffee and Tea
2565862,https://www.grubhub.com/restaurant/zaros-family-bakery-port-authority-625-8th-ave-new-york/2565862,Zaro's Family Bakery (Port Authority),25 ratings,Breakfast
6545960,https://www.grubhub.com/restaurant/volare-espresso-bar-199-5th-ave-brooklyn/6545960,Volare Espresso Bar,,American
1171906,https://www.grubhub.com/restaurant/marys-burger-bar-122-e-57th-st-new-york/1171906,Mary's Burger Bar,9 ratings,Hamburger
6892008,https://www.grubhub.com/restaurant/celines-salad-bar-596-3rd-ave-new-york/6892008,Celines Salad Bar,,Salad
5454536,https://www.grubhub.com/restaurant/vesuvio-bakery-160-prince-st-new-york/5454536,Vesuvio Bakery,3 ratings,Dessert
4520216,https://www.grubhub.com/restaurant/the-village-smoothie-spot-740-10th-ave-new-york/4520216,The Village Smoothie Spot,,American
4479880,https://www.grubhub.com/restaurant/la-nueva-bakery-86-10-37th-ave-queens/4479880,La Nueva Bakery,9 ratings,Bakery
5268264,https://www.grubhub.com/restaurant/relapse-wraps-740-10th-ave-new-york/5268264,Relapse Wraps,,Sandwich
2368674,https://www.grubhub.com/restaurant/for-five-coffee-roasters----brookfield-place-225-liberty-st-new-york/2368674,For Five Coffee Roasters - Brookfield Place,13 ratings,Coffee and Tea
2193273,https://www.grubhub.com/restaurant/838-180th-deli-grocery-corp-838-e-180th-st-the-bronx/2193273,838 180th deli grocery Corp,58 ratings,Convenience
4437120,https://www.grubhub.com/restaurant/rite-aid-60-26-woodside-ave-woodside/4437120,Rite Aid,31 ratings,Convenience
3132500,https://www.grubhub.com/restaurant/amore-italiano-699-classon-ave-brooklyn/3132500,Amore Italiano,6 ratings,Italian
2816971,https://www.grubhub.com/restaurant/the-sandwich-cafe-774-broadway-brooklyn/2816971,The Sandwich Cafe,,sandwich
2732270,https://www.grubhub.com/restaurant/eat-cafe-1064-madison-ave-new-york/2732270,E.A.T. Cafe,7 ratings,Breakfast
7187064,https://www.grubhub.com/restaurant/cvs-100-02-queens-boulevard-forest-hills/7187064,CVS,25 ratings,Convenience
5853280,https://www.grubhub.com/restaurant/janes-juice-bar-38-01-vernon-blvd-long-island-city/5853280,Jane's Juice Bar,,Fast Food
2970221,https://www.grubhub.com/restaurant/downtown-organic-market-24-4th-ave-brooklyn/2970221,Downtown Organic Market,75 ratings,Grocery Items
1229930,https://www.grubhub.com/restaurant/shwarma-grill-1201-castle-hill-ave-bronx/1229930,Shwarma Grill,128 ratings,Mediterranean
3245947,https://www.grubhub.com/restaurant/all-about-breakfast-629-church-ave-brooklyn/3245947,All About Breakfast,,Breakfast
6715528,https://www.grubhub.com/restaurant/panini-point-69-48-main-st-queens/6715528,Panini Point,,Sandwich
325442,https://www.grubhub.com/restaurant/green-olive-161-e-116th-st-new-york/325442,Green Olive,436 ratings,Breakfast
3246049,https://www.grubhub.com/restaurant/the-one-breakfast-burrito-481-amsterdam-ave-new-york/3246049,The One Breakfast Burrito,9 ratings,Breakfast
6575008,https://www.grubhub.com/restaurant/shawarma-king-145-w-kingsbridge-rd-bronx/6575008,Shawarma King,6 ratings,Mediterranean
5268096,https://www.grubhub.com/restaurant/burrito-n-shine-154-7th-ave-new-york/5268096,Burrito N Shine,,Breakfast
743908,https://www.grubhub.com/restaurant/le-cafe-coffee-661-lexington-ave-new-york/743908,Le Cafe Coffee,163 ratings,Coffee and Tea
4809232,https://www.grubhub.com/restaurant/goldies-burgers--fries-112-hillside-avenue-williston-park/4809232,Goldies Burgers & Fries,,Hamburger
3336907,https://www.grubhub.com/restaurant/cafe-take-5-560-northern-blvd-great-neck/3336907,Cafe Take 5,,Salads
3199056,https://www.grubhub.com/restaurant/anytime-breakfast-sandwiches-4-3579-victory-blvd-staten-island/3199056,Anytime Breakfast Sandwiches (4),,Breakfast
6829320,https://www.grubhub.com/restaurant/gold-coffee-491-3rd-ave-new-york/6829320,Gold coffee,,Coffee and Tea
3252578,https://www.grubhub.com/restaurant/croissant-club-1735-washington-ave-bronx/3252578,Croissant Club,,Lunch
3224723,https://www.grubhub.com/restaurant/ninis-smoothie-bar-227-e-204th-st-bronx/3224723,Nini's Smoothie Bar,21 ratings,Salads
3209875,https://www.grubhub.com/restaurant/brews-smash-burgers-316-st-nicholas-ave-new-york/3209875,Brew's Smash Burgers,15 ratings,Hamburger
3039814,https://www.grubhub.com/restaurant/the-waffle-spot-dyckman-st-158-dyckman-st-new-york/3039814,The Waffle Spot (Dyckman St),48 ratings,Breakfast
2809924,https://www.grubhub.com/restaurant/tal-bagels-1324-lexington-ave-new-york/2809924,tal bagels,246 ratings,Bagel
7438144,https://www.grubhub.com/restaurant/italia-moderna-2709-broadway-new-york/7438144,Italia Moderna,,Italian
